regime,prevalence,policy,knob,coverage,escalation_rate,false_reject_rate,false_accept_rate,cost_per_item
target_0.02,0.02,ours,0.9376923076923076,1.0,0.0,0.0,1.0,0.19999999999999998
target_0.02,0.02,ours,0.9784615384615384,1.0,0.0,0.0,1.0,0.19999999999999998
target_0.02,0.02,ours,1.0192307692307692,1.0,0.0,0.0,1.0,0.19999999999999998
target_0.02,0.02,ours,1.0599999999999998,1.0,0.0,0.0,1.0,0.19999999999999998
target_0.02,0.02,ours,1.1007692307692307,1.0,0.0,0.0,1.0,0.19999999999999998
target_0.02,0.02,ours,1.1415384615384614,1.0,0.0,0.0,1.0,0.19999999999999998
target_0.02,0.02,ours,1.1823076923076923,1.0,0.0,0.0,1.0,0.19999999999999998
target_0.02,0.02,ours,1.223076923076923,1.0,0.0,0.0,1.0,0.19999999999999998
target_0.02,0.02,ours,1.2638461538461538,1.0,0.0,0.0,1.0,0.19999999999999998
target_0.02,0.02,ours,1.3046153846153845,1.0,0.0,0.0,1.0,0.19999999999999998
target_0.02,0.02,ours,1.3453846153846152,1.0,0.0,0.0,1.0,0.19999999999999998
target_0.02,0.02,ours,1.386153846153846,1.0,0.0,0.0,1.0,0.19999999999999998
target_0.02,0.02,ours,1.4269230769230767,1.0,0.0,0.0,1.0,0.19999999999999998
target_0.02,0.02,ours,1.4676923076923076,1.0,0.0,0.0,1.0,0.19999999999999998
target_0.02,0.02,ours,1.5084615384615383,1.0,0.0,0.0,1.0,0.19999999999999998
target_0.02,0.02,ours,1.5492307692307692,1.0,0.0,0.0,1.0,0.19999999999999998
target_0.02,0.02,ours,1.5899999999999999,1.0,0.0,0.0,1.0,0.19999999999999998
target_0.02,0.02,ours,1.6307692307692307,1.0,0.0,0.0,1.0,0.19999999999999998
target_0.02,0.02,ours,1.6715384615384614,1.0,0.0,0.0,1.0,0.19999999999999998
target_0.02,0.02,ours,1.712307692307692,1.0,0.0,0.0,1.0,0.19999999999999998
target_0.02,0.02,ours,1.753076923076923,1.0,0.0,0.0,1.0,0.19999999999999998
target_0.02,0.02,ours,1.7938461538461536,1.0,0.0,0.0,1.0,0.19999999999999998
target_0.02,0.02,ours,1.8346153846153845,1.0,0.0,0.0,1.0,0.19999999999999998
target_0.02,0.02,ours,1.8753846153846152,1.0,0.0,0.0,1.0,0.19999999999999998
target_0.02,0.02,ours,1.916153846153846,1.0,0.0,0.0,1.0,0.19999999999999998
target_0.02,0.02,ours,1.9569230769230768,1.0,0.0,0.0,1.0,0.19999999999999998
target_0.02,0.02,ours,1.9976923076923074,1.0,0.0,0.0,1.0,0.19999999999999998
target_0.02,0.02,ours,2.0384615384615383,1.0,0.0,0.0,1.0,0.19999999999999998
target_0.02,0.02,ours,2.079230769230769,1.0,0.0,0.0,1.0,0.19999999999999998
target_0.02,0.02,ours,2.1199999999999997,1.0,0.0,0.0,1.0,0.19999999999999998
target_0.02,0.02,ours,2.1607692307692306,1.0,0.0,0.0,1.0,0.19999999999999998
target_0.02,0.02,ours,2.2015384615384614,1.0,0.0,0.0,1.0,0.19999999999999998
target_0.02,0.02,ours,2.2423076923076923,1.0,0.0,0.0,1.0,0.19999999999999998
target_0.02,0.02,ours,2.283076923076923,1.0,0.0,0.0,1.0,0.19999999999999998
target_0.02,0.02,ours,2.3238461538461537,1.0,0.0,0.0,1.0,0.19999999999999998
target_0.02,0.02,ours,2.3646153846153846,1.0,0.0,0.0,1.0,0.19999999999999998
target_0.02,0.02,ours,2.405384615384615,1.0,0.0,0.0,1.0,0.19999999999999998
