regime,prevalence,policy,knob,coverage,escalation_rate,false_reject_rate,false_accept_rate,cost_per_item
target_0.02,0.02,ours,0.16307692307692306,0.9103094896495184,0.08969051035048164,0.0,1.0,0.10985857757737243
target_0.02,0.02,ours,0.20384615384615384,0.9345480631276903,0.0654519368723099,0.0,1.0,0.08898134863701579
target_0.02,0.02,ours,0.2446153846153846,0.9345480631276903,0.0654519368723099,0.0,1.0,0.08898134863701579
target_0.02,0.02,ours,0.28538461538461535,0.9345480631276903,0.0654519368723099,0.0,1.0,0.08898134863701579
target_0.02,0.02,ours,0.3261538461538461,0.934716130354581,0.06528386964541913,0.0,1.0,0.0904939536790326
target_0.02,0.02,ours,0.3669230769230769,0.9353883992621441,0.0646116007378561,0.0,1.0,0.09654437384709982
target_0.02,0.02,ours,0.4076923076923077,0.9360606681697071,0.06393933183029307,0.0,1.0,0.10259479401516707
target_0.02,0.02,ours,0.4484615384615384,0.9362287353965979,0.06377126460340232,0.0,1.0,0.10410739905718387
target_0.02,0.02,ours,0.4892307692307692,0.9363968026234886,0.06360319737651157,0.0,1.0,0.10562000409920067
target_0.02,0.02,ours,0.5299999999999999,0.9369010043041609,0.0630989956958393,0.0,1.0,0.11015781922525107
target_0.02,0.02,ours,0.5707692307692307,0.9369010043041609,0.0630989956958393,0.0,1.0,0.11015781922525107
target_0.02,0.02,ours,0.6115384615384615,0.9370690715310517,0.06293092846894854,0.0,1.0,0.11167042426726788
target_0.02,0.02,ours,0.6523076923076923,0.9372371387579423,0.0627628612420578,0.0,1.0,0.11318302930928467
target_0.02,0.02,ours,0.693076923076923,0.9374052059848331,0.06259479401516703,0.0,1.0,0.1146956343513015
target_0.02,0.02,ours,0.7338461538461538,0.9377413404386147,0.06225865956138552,0.0,1.0,0.1177208444353351
target_0.02,0.02,ours,0.7746153846153846,0.9619799139167864,0.038020086083213764,0.0,1.0,0.09684361549497847
target_0.02,0.02,ours,0.8153846153846154,0.9621479811436771,0.037852018856323014,0.0,1.0,0.09835622053699529
target_0.02,0.02,ours,0.856153846153846,0.9621479811436771,0.037852018856323014,0.0,1.0,0.09835622053699529
target_0.02,0.02,ours,0.8969230769230768,0.9628202500512402,0.037179749948759985,0.0,1.0,0.10440664070506252
target_0.02,0.02,ours,0.9376923076923076,0.9631563845050216,0.03684361549497848,0.0,1.0,0.10743185078909612
target_0.02,0.02,ours,0.9784615384615384,0.964332855093257,0.03566714490674318,0.0,1.0,0.11802008608321377
target_0.02,0.02,ours,1.0192307692307692,0.96500512400082,0.03499487599918016,0.0,1.0,0.12407050625128098
target_0.02,0.02,ours,1.0599999999999998,0.9653412584546015,0.03465874154539865,0.0,1.0,0.12709571633531463
target_0.02,0.02,ours,1.1007692307692307,0.965677392908383,0.03432260709161712,0.0,1.0,0.13012092641934822
target_0.02,0.02,ours,1.1415384615384614,0.965677392908383,0.03432260709161712,0.0,1.0,0.13012092641934822
target_0.02,0.02,ours,1.1823076923076923,0.9661815945890553,0.03381840541094486,0.0,1.0,0.13465874154539864
target_0.02,0.02,ours,1.223076923076923,0.9661815945890553,0.03381840541094486,0.0,1.0,0.13465874154539864
target_0.02,0.02,ours,1.2638461538461538,0.9665177290428367,0.03348227095716334,0.0,1.0,0.13768395162943223
target_0.02,0.02,ours,1.3046153846153845,0.9666857962697275,0.03331420373027259,0.0,1.0,0.13919655667144903
target_0.02,0.02,ours,1.3453846153846152,0.9671899979503997,0.032810002049600315,0.0,1.0,0.14373437179749946
target_0.02,0.02,ours,1.386153846153846,0.9673580651772905,0.032641934822709565,0.0,1.0,0.14524697683951626
target_0.02,0.02,ours,1.4269230769230767,0.9675261324041813,0.03247386759581881,0.0,1.0,0.14675958188153307
target_0.02,0.02,ours,1.4676923076923076,0.9675261324041813,0.03247386759581881,0.0,1.0,0.14675958188153307
target_0.02,0.02,ours,1.5084615384615383,0.9678622668579628,0.03213773314203729,0.0,1.0,0.14978479196556668
target_0.02,0.02,ours,1.5492307692307692,0.9687026029924166,0.031297397007583515,0.0,1.0,0.15734781717565072
target_0.02,0.02,ours,1.5899999999999999,0.9688706702193073,0.03112932978069276,0.0,1.0,0.15886042221766755
target_0.02,0.02,ours,1.6307692307692307,0.9692068046730888,0.03079319532691125,0.0,1.0,0.16188563230170114
target_0.02,0.02,ours,1.6715384615384614,0.9697110063537611,0.030288993646238983,0.0,1.0,0.16642344742775156
target_0.02,0.02,ours,1.712307692307692,0.9700471408075426,0.029952859192457472,0.0,1.0,0.1694486575117852
target_0.02,0.02,ours,1.753076923076923,0.9703832752613242,0.029616724738675958,0.0,1.0,0.1724738675958188
target_0.02,0.02,ours,1.7938461538461536,0.9942857142857143,0.005714285714285714,0.0,1.0,0.14857142857142852
target_0.02,0.02,ours,1.8346153846153845,0.9942857142857143,0.005714285714285714,0.0,1.0,0.14857142857142852
target_0.02,0.02,ours,1.8753846153846152,0.9947899159663866,0.005210084033613446,0.0,0.977272727272727,0.14974789915966386
target_0.02,0.02,ours,1.916153846153846,0.9947899159663866,0.005210084033613446,0.0,0.977272727272727,0.14974789915966386
target_0.02,0.02,ours,1.9569230769230768,0.9951260504201681,0.004873949579831933,0.0,0.9777777777777779,0.15277310924369747
target_0.02,0.02,ours,1.9976923076923074,0.9952941176470589,0.004705882352941176,0.0,0.9780219780219781,0.15428571428571428
target_0.02,0.02,ours,2.0384615384615383,0.9954621848739496,0.00453781512605042,0.0,0.9673913043478262,0.15411764705882353
target_0.02,0.02,ours,2.079230769230769,0.9957983193277311,0.004201680672268907,0.0,0.9574468085106385,0.15546218487394955
target_0.02,0.02,ours,2.1199999999999997,0.9966386554621849,0.003361344537815126,0.0,0.9191919191919191,0.15630252100840333
target_0.02,0.02,ours,2.1607692307692306,0.9989915966386554,0.0010084033613445378,0.0,0.8318584070796458,0.15899159663865545
target_0.02,0.02,ours,2.2015384615384614,0.9989915966386554,0.0010084033613445378,0.0,0.8318584070796458,0.15899159663865545
target_0.02,0.02,ours,2.2423076923076923,0.9989915966386554,0.0010084033613445378,0.0,0.8318584070796458,0.15899159663865545
target_0.02,0.02,ours,2.283076923076923,0.999327731092437,0.0006722689075630251,0.0,0.8260869565217389,0.1603361344537815
target_0.02,0.02,ours,2.3238461538461537,1.0,0.0,0.0,0.8151260504201682,0.1630252100840336
target_0.02,0.02,ours,2.3646153846153846,1.0,0.0,0.0,0.8151260504201682,0.1630252100840336
target_0.02,0.02,ours,2.405384615384615,1.0,0.0,0.0,0.8151260504201682,0.1630252100840336
target_0.02,0.02,ours,2.446153846153846,1.0,0.0,0.0,0.8151260504201682,0.1630252100840336
target_0.02,0.02,naive,0.0,1.0,0.0,0.0,0.4537815126050419,0.0907563025210084
target_0.02,0.02,naive,0.00667620699107647,0.9749210903873745,0.025078909612625537,0.0,0.47321428571428553,0.11415453986472639
target_0.02,0.02,naive,0.01335241398215294,0.9742488214798115,0.025751178520188562,0.0,0.4629629629629629,0.10978479196556672
target_0.02,0.02,naive,0.02002862097322941,0.97391268702603,0.026087312973970073,0.0,0.4622641509433962,0.10844025415044067
target_0.02,0.02,naive,0.02670482796430588,0.972568149210904,0.027431850789096122,0.0,0.44897959183673464,0.10138143062102892
target_0.02,0.02,naive,0.03338103495538235,0.9722320147571224,0.02776798524287764,0.0,0.43749999999999994,0.09835622053699529
target_0.02,0.02,naive,0.04005724194645882,0.9717278130764502,0.028272186923549908,0.0,0.43010752688172055,0.09549907767985243
target_0.02,0.02,naive,0.04673344893753529,0.971223611395778,0.028776388604222176,0.0,0.43333333333333335,0.09432260709161713
target_0.02,0.02,naive,0.05340965592861176,0.9705513424882148,0.029448657511785204,0.0,0.4186046511627909,0.08995285919245748
target_0.02,0.02,naive,0.060085862919688225,0.9702152080344334,0.029784791965566715,0.0,0.41666666666666685,0.08860832137733142
target_0.02,0.02,naive,0.0667620699107647,0.9698790735806518,0.030120926419348226,0.0,0.40243902439024404,0.0855831112932978
target_0.02,0.02,naive,0.07343827690184117,0.9695429391268704,0.030457060873129736,0.0,0.4125000000000001,0.08591924574707932
target_0.02,0.02,naive,0.08011448389291764,0.9690387374461981,0.030961262553802004,0.0,0.40259740259740273,0.08306210288993646
target_0.02,0.02,naive,0.0867906908839941,0.9683664685386351,0.03163353146136503,0.0,0.39726027397260283,0.08037302725968436
target_0.02,0.02,naive,0.09346689787507058,0.9680303340848535,0.031969665915146536,0.0,0.3943661971830988,0.07902848944455831
target_0.02,0.02,naive,0.10014310486614704,0.9678622668579628,0.03213773314203729,0.0,0.4000000000000002,0.07919655667144906
