regime,naive_cost,break_even_cost,review_cost,ours_cost,escalation_rate,beats_naive
target_0.02_realistic,1.156,0.9684466019417476,1.1468446601941746,1.0864283980582523,0.3892666666666666,True
target_0.02_realistic,1.156,0.9684466019417476,1.1723300970873787,1.05928786407767,0.32353333333333323,True
target_0.02_realistic,1.156,0.9684466019417476,1.1978155339805825,1.0677293689320386,0.30699999999999994,True
target_0.02_realistic,1.156,0.9684466019417476,1.2233009708737863,1.0755533980582523,0.30699999999999994,True
target_0.02_realistic,1.156,0.9684466019417476,1.2487864077669903,1.0827308252427186,0.29046666666666665,True
target_0.02_realistic,1.156,0.9684466019417476,1.2742718446601942,1.1088106796116506,0.2737333333333333,True
target_0.02_realistic,1.156,0.9684466019417476,1.299757281553398,1.1157868932038837,0.2737333333333333,True
target_0.02_realistic,1.156,0.9684466019417476,1.3252427184466018,1.1622330097087379,0.27333333333333326,False
target_0.02_realistic,1.156,0.9684466019417476,1.3507281553398058,1.1645349514563106,0.24026666666666668,False
target_0.02_realistic,1.156,0.9684466019417476,1.3762135922330097,1.190383009708738,0.2400666666666666,False
target_0.02_realistic,1.156,0.9684466019417476,1.4016990291262135,1.196501213592233,0.2400666666666666,False
target_0.02_realistic,1.156,0.9684466019417476,1.4271844660194175,1.2026194174757283,0.2400666666666666,False
target_0.02_realistic,1.156,0.9684466019417476,1.4526699029126213,1.2007026699029124,0.20700000000000002,False
target_0.02_realistic,1.156,0.9684466019417476,1.4781553398058251,1.1818349514563105,0.19066666666666668,False
target_0.02_realistic,1.156,0.9684466019417476,1.5036407766990292,1.1866941747572817,0.19066666666666668,False
target_0.02_realistic,1.156,0.9684466019417476,1.529126213592233,1.2006844660194176,0.1574,False
target_0.02_realistic,1.156,0.9684466019417476,1.5546116504854368,1.2046958737864077,0.1574,False
target_0.02_realistic,1.156,0.9684466019417476,1.5800970873786406,1.208707281553398,0.1574,False
target_0.02_realistic,1.156,0.9684466019417476,1.6055825242718447,1.2127186893203885,0.1574,False
target_0.02_realistic,1.156,0.9684466019417476,1.6310679611650485,1.2167300970873787,0.1574,False
target_0.02_realistic,1.156,0.9684466019417476,1.6565533980582523,1.220741504854369,0.1574,False
target_0.02_realistic,1.156,0.9684466019417476,1.6820388349514563,1.224752912621359,0.1574,False
target_0.02_realistic,1.156,0.9684466019417476,1.7075242718446602,1.2008747572815532,0.14106666666666667,False
target_0.02_realistic,1.156,0.9684466019417476,1.733009708737864,1.2044699029126216,0.14106666666666667,False
