regime,prevalence,cost_matrix,policy,knob,coverage,escalation_rate,false_reject_rate,false_accept_rate,cost_per_item
native,0.625,10/3/1,naive,0.48914316201210023,0.14375,0.85625,,0.0,0.85625
native,0.625,10/3/1,naive,0.4975766648054123,0.13125,0.86875,,0.0,0.86875
native,0.625,10/3/1,naive,0.5060101675987244,0.0,1.0,,,1.0
target_0.02,0.02,10/3/1,ours,0.0,0.0,1.0,,,1.0
target_0.02,0.02,10/3/1,ours,0.040769230769230766,0.01633333333333333,0.9836666666666671,0.0,,0.9836666666666666
target_0.02,0.02,10/3/1,ours,0.08153846153846153,0.0498,0.9502,0.0,1.0,0.9582
target_0.02,0.02,10/3/1,ours,0.1223076923076923,0.6929999999999998,0.30699999999999994,0.0,1.0,0.37700000000000006
target_0.02,0.02,10/3/1,ours,0.16307692307692306,0.8426000000000002,0.1574,0.0,1.0,0.25339999999999996
target_0.02,0.02,10/3/1,ours,0.20384615384615384,0.9242666666666667,0.07573333333333335,0.0,1.0,0.17173333333333335
target_0.02,0.02,10/3/1,ours,0.2446153846153846,0.9414000000000003,0.0586,0.0,1.0,0.16260000000000002
target_0.02,0.02,10/3/1,ours,0.28538461538461535,0.9414000000000003,0.0586,0.0,1.0,0.16260000000000002
target_0.02,0.02,10/3/1,ours,0.3261538461538461,0.9422,0.057800000000000004,0.0,1.0,0.1698
target_0.02,0.02,10/3/1,ours,0.3669230769230769,0.9436,0.056400000000000006,0.0,1.0,0.18239999999999998
target_0.02,0.02,10/3/1,ours,0.4076923076923077,0.9438000000000001,0.05620000000000001,0.0,1.0,0.1842
target_0.02,0.02,10/3/1,ours,0.4484615384615384,0.9438000000000001,0.05620000000000001,0.0,1.0,0.1842
target_0.02,0.02,10/3/1,ours,0.4892307692307692,0.9440000000000002,0.05600000000000001,0.0,1.0,0.186
target_0.02,0.02,10/3/1,ours,0.5299999999999999,0.9605333333333336,0.039466666666666664,0.0,1.0,0.17146666666666666
target_0.02,0.02,10/3/1,ours,0.5707692307692307,0.9607333333333337,0.039266666666666665,0.0,1.0,0.17326666666666668
target_0.02,0.02,10/3/1,ours,0.6115384615384615,0.9609333333333338,0.039066666666666666,0.0,1.0,0.17506666666666665
target_0.02,0.02,10/3/1,ours,0.6523076923076923,0.9613333333333334,0.03866666666666667,0.0,1.0,0.17866666666666667
target_0.02,0.02,10/3/1,ours,0.693076923076923,0.978266666666667,0.021733333333333334,0.0,1.0,0.16773333333333335
target_0.02,0.02,10/3/1,ours,0.7338461538461538,0.978266666666667,0.021733333333333334,0.0,1.0,0.16773333333333335
target_0.02,0.02,10/3/1,ours,0.7746153846153846,0.978266666666667,0.021733333333333334,0.0,1.0,0.16773333333333335
target_0.02,0.02,10/3/1,ours,0.8153846153846154,0.978466666666667,0.02153333333333333,0.0,1.0,0.16953333333333337
target_0.02,0.02,10/3/1,ours,0.856153846153846,0.978466666666667,0.02153333333333333,0.0,1.0,0.16953333333333337
target_0.02,0.02,10/3/1,ours,0.8969230769230768,0.978466666666667,0.02153333333333333,0.0,1.0,0.16953333333333337
target_0.02,0.02,10/3/1,ours,0.9376923076923076,0.978466666666667,0.02153333333333333,0.0,1.0,0.16953333333333337
target_0.02,0.02,10/3/1,ours,0.9784615384615384,0.978466666666667,0.02153333333333333,0.0,1.0,0.16953333333333337
target_0.02,0.02,10/3/1,ours,1.0192307692307692,0.978466666666667,0.02153333333333333,0.0,1.0,0.16953333333333337
target_0.02,0.02,10/3/1,ours,1.0599999999999998,0.978466666666667,0.02153333333333333,0.0,1.0,0.16953333333333337
target_0.02,0.02,10/3/1,ours,1.1007692307692307,0.978666666666667,0.021333333333333333,0.0,1.0,0.17133333333333337
target_0.02,0.02,10/3/1,ours,1.1415384615384614,0.978666666666667,0.021333333333333333,0.0,1.0,0.17133333333333337
target_0.02,0.02,10/3/1,ours,1.1823076923076923,0.978666666666667,0.021333333333333333,0.0,1.0,0.17133333333333337
target_0.02,0.02,10/3/1,ours,1.223076923076923,0.9954000000000001,0.004600000000000002,0.0,1.0,0.15860000000000002
target_0.02,0.02,10/3/1,ours,1.2638461538461538,0.9954000000000001,0.004600000000000002,0.0,1.0,0.15860000000000002
target_0.02,0.02,10/3/1,ours,1.3046153846153845,0.9956000000000002,0.004400000000000001,0.0,1.0,0.16040000000000004
target_0.02,0.02,10/3/1,ours,1.3453846153846152,0.9956000000000002,0.004400000000000001,0.0,1.0,0.16040000000000004
